1024 1024 100 1024 64 1 3.84826
1024 1024 100 1024 64 1 3.36324
1024 1024 100 1024 64 1 2.93875
1024 1024 100 1024 64 1 3.14869
1024 1024 100 1024 64 1 3.49833
1024 1024 100 1024 64 1 3.22343
1024 1024 100 1024 64 1 3.1924
1024 1024 100 1024 64 1 2.76091
1024 1024 100 1024 64 1 3.12853
1024 1024 100 1024 64 1 3.08351
1448 1448 100 1448 64 1 3.83613
1448 1448 100 1448 64 1 3.95832
1448 1448 100 1448 64 1 3.34368
1448 1448 100 1448 64 1 3.45612
1448 1448 100 1448 64 1 3.39669
1448 1448 100 1448 64 1 3.77247
1448 1448 100 1448 64 1 3.22335
1448 1448 100 1448 64 1 3.69978
1448 1448 100 1448 64 1 3.66819
1448 1448 100 1448 64 1 3.58871
2048 2048 100 2048 64 1 5.92359
2048 2048 100 2048 64 1 6.37013
2048 2048 100 2048 64 1 5.59121
2048 2048 100 2048 64 1 6.36341
2048 2048 100 2048 64 1 5.95715
2048 2048 100 2048 64 1 5.47681
2048 2048 100 2048 64 1 5.9712
2048 2048 100 2048 64 1 5.18076
2048 2048 100 2048 64 1 6.13684
2048 2048 100 2048 64 1 5.31216
2896 2896 100 2896 64 1 7.59888
2896 2896 100 2896 64 1 6.33191
2896 2896 100 2896 64 1 7.12031
2896 2896 100 2896 64 1 6.63224
2896 2896 100 2896 64 1 6.63302
2896 2896 100 2896 64 1 6.89179
2896 2896 100 2896 64 1 6.23486
2896 2896 100 2896 64 1 6.64607
2896 2896 100 2896 64 1 6.32013
2896 2896 100 2896 64 1 7.17921
4096 4096 100 4096 64 1 12.661
4096 4096 100 4096 64 1 10.9692
4096 4096 100 4096 64 1 9.34159
4096 4096 100 4096 64 1 10.8279
4096 4096 100 4096 64 1 9.57817
4096 4096 100 4096 64 1 10.3272
4096 4096 100 4096 64 1 11.131
4096 4096 100 4096 64 1 10.4068
4096 4096 100 4096 64 1 10.833
4096 4096 100 4096 64 1 10.6723
